Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
1	1	A	2	3	1	2.71E-01	1	6.00E-01
1	2	B	3	1	4	2.65E-01	4	3.50E-01
1	3	A	1	4	3	3.88E-01	3	4.00E-01
1	4	B	4	3	1	2.77E-01	1	4.50E-01
1	5	A	3	1	2	3.37E-01	2	2.50E-01
1	6	A	1	2	1	3.50E-01	1	2.50E-01
1	7	A	2	1	4	3.14E-01	4	5.00E-01
1	8	A	1	4	3	3.28E-01	3	3.00E-01
1	9	B	4	3	1	2.90E-01	1	4.00E-01
1	10	B	3	1	4	3.52E-01	4	2.00E-01
1	11	B	1	4	2	2.51E-01	2	5.50E-01
1	12	A	4	2	3	2.99E-01	3	3.00E-01
1	13	B	2	3	4	3.07E-01	4	2.50E-01
1	14	A	3	4	2	3.86E-01	2	5.50E-01
1	15	A	4	2	3	3.28E-01	4	5.50E-01
1	16	A	2	3	1	2.72E-01	1	3.50E-01
1	17	A	3	1	2	3.52E-01	2	2.50E-01
1	18	A	1	2	1	3.13E-01	1	6.00E-01
1	19	A	2	1	4	2.52E-01	4	3.50E-01
1	20	A	1	4	3	3.03E-01	3	5.50E-01
1	21	A	4	3	2	3.16E-01	2	2.00E-01
1	22	A	3	2	4	3.45E-01	4	4.50E-01
1	23	B	2	4	3	4.17E-01	3	5.50E-01
1	24	A	4	3	2	3.18E-01	2	4.50E-01
1	25	A	3	2	4	3.14E-01	4	4.00E-01
1	26	A	2	4	1	2.51E-01	2	5.00E-01
1	27	A	4	1	3	3.05E-01	3	5.50E-01
1	28	A	1	3	4	3.10E-01	4	4.00E-01
1	29	A	3	4	2	2.55E-01	2	4.00E-01
1	30	A	4	2	3	2.60E-01	3	4.50E-01
1	31	A	2	3	1	2.65E-01	1	3.50E-01
1	32	A	3	1	2	3.02E-01	2	4.50E-01
1	33	A	1	2	1	3.12E-01	1	4.00E-01
1	34	A	2	1	4	3.00E-01	4	3.00E-01
1	35	A	1	4	3	2.79E-01	3	3.00E-01
1	36	A	4	3	2	2.71E-01	2	6.00E-01
1	37	A	3	2	4	3.15E-01	4	3.00E-01
1	38	A	2	4	1	3.35E-01	1	4.50E-01
1	39	A	4	1	3	3.03E-01	3	3.00E-01
1	40	A	1	3	4	3.26E-01	4	2.00E-01
1	41	A	3	4	2	2.67E-01	2	6.00E-01
1	42	A	4	2	3	4.11E-01	3	3.00E-01
1	43	A	2	3	1	2.82E-01	1	4.00E-01
1	44	A	3	1	2	3.26E-01	2	5.00E-01
1	45	A	1	2	1	3.83E-01	1	2.00E-01
1	46	A	2	1	4	3.53E-01	4	2.00E-01
1	47	B	1	4	2	2.72E-01	2	2.50E-01
1	48	A	4	2	3	3.53E-01	3	4.00E-01
1	49	A	2	3	1	2.65E-01	1	6.00E-01
1	50	A	3	1	2	4.67E-01	2	2.00E-01
1	51	A	1	2	1	3.30E-01	1	6.00E-01
1	52	A	2	1	4	2.93E-01	3	5.50E-01
1	53	A	1	4	3	2.93E-01	3	5.50E-01
1	54	A	4	3	2	2.30E-01	2	6.00E-01
1	55	B	3	2	3	3.38E-01	3	2.00E-01
1	56	A	2	3	1	2.92E-01	1	4.00E-01
1	57	A	3	1	2	3.25E-01	2	5.00E-01
1	58	A	1	2	1	3.27E-01	1	6.00E-01
1	59	B	2	1	3	3.53E-01	3	3.50E-01
