SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1003,regression_beta_unexpected_uncertainty,0.3996,0.3282,0.0053,3821.4433,3900.3575,1.0006,0.0439
1003,regression_noise,0.1822,0.003,0,6897.504,5582.4435,1.0003,0.0792
1003,regression_beta_expected_uncertainty,0.1716,0.2855,0.0054,3868.8374,2089.9972,1.0007,0.0444
1003,regression_beta_post_error,0.1422,0.0331,0.0004,7084.9093,5317.2742,1.0004,0.0813
1003,xprob_volatility,-2.7325,0.5505,0.0116,2705.6074,2207.8705,1.0009,0.0311
1003,regression_intercept,5.638,0.09,0.0015,3896.6924,4254.8866,1.0004,0.0447
1003,regression_beta_surprise,0.1391,0.0549,0.001,3157.4974,3225.1181,1.0017,0.0363
1003,regression_beta_post_reversal,-0.079,0.0087,0.0001,6815.6093,5435.9033,1.0007,0.0783
1005,regression_beta_unexpected_uncertainty,0.147,0.5598,0.0122,2098.6554,3233.8448,1.0024,0.0167
1005,regression_noise,0.1974,0.0032,0,6092.3244,5207.8339,1.0011,0.0484
1005,regression_beta_expected_uncertainty,0.9168,0.529,0.0081,4240.0039,5246.2646,1.0009,0.0337
1005,regression_beta_post_error,0.1572,0.0299,0.0004,6747.3965,5226.7892,1.0005,0.0536
1005,xprob_volatility,-4.8149,0.5628,0.0095,3798.252,3303.1004,1.0002,0.0302
1005,regression_intercept,5.4823,0.1959,0.0044,2024.3105,2978.3636,1.0022,0.0161
1005,regression_beta_surprise,0.2206,0.0753,0.0017,2052.1935,3388.5017,1.0025,0.0163
1005,regression_beta_post_reversal,-0.0021,0.0098,0.0001,4840.1679,5235.1397,1.0009,0.0385
1007,regression_beta_unexpected_uncertainty,0.0487,0.4865,0.0102,2292.5633,2950.2356,1.0016,0.0166
1007,regression_noise,0.1459,0.0025,0,5182.6136,4912.3639,1.0004,0.0375
1007,regression_beta_expected_uncertainty,1.1913,0.4286,0.0068,3906.6307,4921.5446,1.0003,0.0283
1007,regression_beta_post_error,-0.007,0.0215,0.0003,6114.645,5161.7714,1.0019,0.0442
1007,xprob_volatility,-5.4068,0.686,0.0113,3758.4181,4870.6299,1.0006,0.0272
1007,regression_intercept,5.4972,0.1712,0.0036,2250.354,2810.315,1.0017,0.0163
1007,regression_beta_surprise,0.1114,0.0665,0.0014,2256.5721,3198.2425,1.0016,0.0163
1007,regression_beta_post_reversal,0.0256,0.0079,0.0001,4793.8725,5171.9422,1.0008,0.0347
1008,regression_beta_unexpected_uncertainty,-0.8061,0.5455,0.0117,2267.35,2928.9928,1.0013,0.0224
1008,regression_noise,0.2504,0.0041,0.0001,6622.4238,5072.8109,1.0005,0.0654
1008,regression_beta_expected_uncertainty,0.2938,0.56,0.01,3333.6231,3649.721,1.0028,0.0329
1008,regression_beta_post_error,0.0319,0.0389,0.0005,6309.5504,4858.5365,1.0007,0.0623
1008,xprob_volatility,-3.4912,1.0236,0.0226,2060.7623,2843.5647,1.0037,0.0203
1008,regression_intercept,6.0075,0.1695,0.0037,2364.378,2415.5382,1.0022,0.0233
1008,regression_beta_surprise,-0.021,0.0794,0.0017,2382.4716,2471.819,1.002,0.0235
1008,regression_beta_post_reversal,-0.1109,0.0119,0.0001,6611.1465,5377.9021,1.001,0.0653
1010,regression_beta_unexpected_uncertainty,1.1758,0.5431,0.0135,1638.0223,2769.9278,1.0055,0.0135
1010,regression_noise,0.1955,0.0032,0,6096.1422,5323.1848,1.0014,0.0504
1010,regression_beta_expected_uncertainty,-0.2554,0.4991,0.0083,3720.7468,3634.2639,1.003,0.0307
1010,regression_beta_post_error,0.209,0.0285,0.0003,7115.574,5289.9886,1.0003,0.0588
1010,xprob_volatility,-4.0922,0.6041,0.0131,2158.6235,2966.188,1.0041,0.0178
1010,regression_intercept,5.2847,0.1951,0.0051,1512.8006,2909.5353,1.0052,0.0125
1010,regression_beta_surprise,0.2709,0.0756,0.002,1426.2868,2610.8347,1.006,0.0118
1010,regression_beta_post_reversal,-0.0089,0.0098,0.0001,4912.382,4842.7851,1.0006,0.0406
1014,regression_beta_unexpected_uncertainty,0.7215,0.3184,0.0063,2652.9303,3175.6207,1.0003,0.0277
1014,regression_noise,0.1584,0.0026,0,6410.4526,4595.7121,1.002,0.067
1014,regression_beta_expected_uncertainty,-0.4734,0.4331,0.0114,1371.6721,2615.7072,1.0017,0.0143
1014,regression_beta_post_error,0.0134,0.0165,0.0002,6222.5452,5016.7492,1.0005,0.065
1014,xprob_volatility,-2.8262,0.6625,0.0177,1396.1104,2526.3051,1.0025,0.0146
1014,regression_intercept,5.4355,0.0837,0.0016,2787.0557,3230.2318,1.0006,0.0291
1014,regression_beta_surprise,0.1659,0.0588,0.0016,1665.0694,1573.1764,1.0013,0.0174
1014,regression_beta_post_reversal,-0.0568,0.0074,0.0001,6248.4327,4861.6731,1.0006,0.0653
1015,regression_beta_unexpected_uncertainty,0.7757,0.7071,0.0167,1867.4048,2467.2728,1.0016,0.0145
1015,regression_noise,0.2375,0.0039,0.0001,5302.9565,5521.3808,1.0006,0.0411
