,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
1,1005,Baseline,1,1,High Prob,2,3,1,0.2883443,1,0.55,Correct,1,1,0.553885676,-1.243600027,3.468076185,0
2,1005,Baseline,1,2,Low Prob,3,1,4,0.3956852,4,0.2,Correct,2,1,0.581374264,-0.927136333,2.527261571,0
3,1005,Baseline,1,3,High Prob,1,4,3,0.4370929,3,0.55,Correct,3,1,0.553885676,-0.827609521,2.287843156,0
4,1005,Baseline,1,4,Low Prob,4,3,1,0.3744696,1,0.3,Correct,4,1,0.581374264,-0.982244654,2.670443742,0
5,1005,Baseline,1,6,High Prob,1,2,1,0.4332418,1,0.2,Correct,6,1,0.553885676,-0.836459277,2.308179866,0
6,1005,Baseline,1,7,High Prob,2,1,4,0.3666567,4,0.4,Correct,7,1,0.553885676,-1.003329291,2.727346862,0
7,1005,Baseline,1,8,High Prob,1,4,3,0.4327165,3,0.35,Correct,8,1,0.553885676,-0.8376725,2.310981902,0
8,1005,Baseline,1,9,Low Prob,4,3,1,0.3901423,1,0.2,Correct,9,1,0.581374264,-0.941243735,2.563167337,0
9,1005,Baseline,1,10,Low Prob,3,1,4,0.4134636,4,0.2,Correct,10,1,0.581374264,-0.883185797,2.418592592,0
10,1005,Baseline,1,11,Low Prob,1,4,2,0.3602033,2,0.5,Correct,11,1,0.581374264,-1.021086685,2.77620999,0
11,1005,Baseline,1,12,High Prob,4,2,3,0.3329003,3,0.3,Correct,12,1,0.553885676,-1.099912233,3.00390237,0
12,1005,Baseline,1,13,Low Prob,2,3,4,0.3783361,4,0.5,Correct,13,1,0.581374264,-0.971972325,2.643152477,0
13,1005,Baseline,1,14,High Prob,3,4,2,0.4264114,2,0.4,Correct,14,1,0.553885676,-0.852350671,2.345153061,0
14,1005,Baseline,1,15,High Prob,4,2,3,0.3204767,3,0.6,Correct,15,1,0.553885676,-1.137945704,3.120351651,0
15,1005,Baseline,1,16,High Prob,2,3,1,0.3364649,1,0.45,Correct,16,1,0.553885676,-1.089261444,2.972078217,0
16,1005,Baseline,1,17,High Prob,3,1,2,0.4858423,2,0.3,Correct,17,1,0.553885676,-0.721871193,2.058281051,0
17,1005,Baseline,1,18,High Prob,1,2,1,0.4372515,1,0.3,Correct,18,1,0.553885676,-0.827246735,2.287013309,0
18,1005,Baseline,1,19,High Prob,2,1,4,0.302636,4,0.5,Correct,19,1,0.553885676,-1.195224516,3.304299555,0
19,1005,Baseline,1,20,High Prob,1,4,3,0.4253238,3,0.2,Correct,20,1,0.553885676,-0.854904518,2.351149877,0
20,1005,Baseline,1,21,High Prob,4,3,2,0.4533612,2,0.45,Correct,21,1,0.553885676,-0.79106612,2.205746764,0
21,1005,Baseline,1,22,High Prob,3,2,4,0.3481245,4,0.55,Correct,22,1,0.553885676,-1.055195105,2.872535544,0
22,1005,Baseline,1,23,Low Prob,2,4,3,0.4468912,3,0.35,Correct,23,1,0.581374264,-0.805440114,2.237681118,0
23,1005,Baseline,1,24,High Prob,4,3,2,0.3402681,2,0.6,Correct,24,1,0.553885676,-1.078021443,2.938859094,0
24,1005,Baseline,1,25,High Prob,3,2,4,0.4716917,4,0.35,Correct,25,1,0.553885676,-0.751429685,2.120028824,0
25,1005,Baseline,1,26,High Prob,2,4,1,0.339656,1,0.4,Correct,26,1,0.553885676,-1.079821938,2.944155263,0
26,1005,Baseline,1,28,High Prob,1,3,4,0.4564498,4,0.2,Correct,28,1,0.553885676,-0.784276552,2.190821422,0
27,1005,Baseline,1,29,High Prob,3,4,2,0.4231617,2,0.35,Correct,29,1,0.553885676,-0.860000903,2.363162829,0
28,1005,Baseline,1,30,High Prob,4,2,3,0.4752403,3,0.25,Correct,30,1,0.553885676,-0.743934708,2.104198655,0
29,1005,Baseline,1,31,High Prob,2,3,1,0.3033,1,0.6,Correct,31,1,0.553885676,-1.193032864,3.297065612,0
30,1005,Baseline,1,32,High Prob,3,1,2,0.4660569,2,0.4,Correct,32,1,0.553885676,-0.763447549,2.145660755,0
31,1005,Baseline,1,33,High Prob,1,2,1,0.4340823,1,0.3,Correct,33,1,0.553885676,-0.834521132,2.30371061,0
32,1005,Baseline,1,34,High Prob,2,1,4,0.3574581,4,0.25,Correct,34,1,0.553885676,-1.028737127,2.797530676,0
33,1005,Baseline,1,35,High Prob,1,4,3,0.3181585,3,0.2,Correct,35,1,0.553885676,-1.145205593,3.143087486,0
34,1005,Baseline,1,36,High Prob,4,3,2,0.4222044,2,0.25,Correct,36,1,0.553885676,-0.862265722,2.368521029,0
35,1005,Baseline,1,37,High Prob,3,2,4,0.3022674,4,0.55,Correct,37,1,0.553885676,-1.196443223,3.308328983,0
36,1005,Baseline,1,38,High Prob,2,4,1,0.3969636,1,0.5,Correct,38,1,0.553885676,-0.92391069,2.51912266,0
37,1005,Baseline,1,39,High Prob,4,1,3,0.4763592,3,0.4,Correct,39,1,0.553885676,-0.741583087,2.099256192,0
38,1005,Baseline,1,40,High Prob,1,3,4,0.512377,4,0.2,Correct,40,1,0.553885676,-0.668694597,1.951687917,0
39,1005,Baseline,1,41,High Prob,3,4,2,0.4271421,2,0.4,Correct,41,1,0.553885676,-0.850638534,2.341141274,0
40,1005,Baseline,1,42,High Prob,4,2,3,0.4511762,3,0.55,Correct,42,1,0.553885676,-0.795897328,2.216428969,0
